src,dst,capacity_mbps,delay_ms,r_link
0,32,594,7.06,0.9951
0,43,859,12.51,0.99
0,95,969,3.77,0.9896
0,184,551,5.56,0.9978
0,217,663,7.39,0.9652
0,228,283,6.88,0.9899
1,4,887,7.95,0.9671
1,22,407,6.92,0.99
1,156,170,13.75,0.9982
1,157,277,13.64,0.9544
1,158,762,3.65,0.9697
1,167,128,12.49,0.9551
1,189,201,13.82,0.9629
2,24,254,8.44,0.9921
2,33,741,7.53,0.9966
2,34,105,11.38,0.9592
2,52,119,12.81,0.9612
2,113,159,4.87,0.9955
2,114,915,6.5,0.9644
2,129,675,6.35,0.9643
2,132,726,4.85,0.9693
2,135,410,3.73,0.9666
2,142,864,4.21,0.9652
2,161,545,5.68,0.9668
2,164,563,3.47,0.9862
2,170,440,9.51,0.964
2,174,832,8.42,0.9599
2,200,160,4.82,0.9731
2,223,618,9.69,0.9872
2,229,357,9.91,0.9954
3,16,128,4.25,0.9909
3,60,550,7.87,0.963
3,91,641,14.45,0.9842
3,95,356,3.08,0.9809
3,114,206,12.72,0.9752
3,132,379,5.97,0.9932
3,140,840,11.38,0.9797
3,170,764,12.97,0.98
3,193,856,6.37,0.9505
3,212,831,12.14,0.9904
3,214,200,11.06,0.9505
4,20,686,14.48,0.9951
4,42,914,6.93,0.9926
4,46,288,4.86,0.9756
4,66,551,11.1,0.9778
4,99,555,8.19,0.9899
4,130,125,6.59,0.9913
4,137,536,9.83,0.9966
4,151,745,11.12,0.9813
4,205,465,13.46,0.9737
4,211,792,12.82,0.9921
4,219,761,12.35,0.9718
4,220,265,7.68,0.9753
4,233,344,7.8,0.9864
5,23,232,5.15,0.983
5,50,358,11.82,0.9623
5,77,408,11.66,0.9778
5,95,564,5.69,0.9781
5,147,117,7.87,0.9713
5,163,316,13.54,0.9748
5,178,316,13.69,0.9547
5,182,271,14.48,0.9752
5,193,249,5.63,0.9982
5,210,574,12.26,0.9693
5,221,696,9.26,0.9832
5,225,192,11.68,0.9833
5,233,826,3.85,0.9911
5,249,378,9.48,0.9827
6,17,183,10.11,0.9732
6,21,889,12.93,0.9962
6,33,237,10.01,0.9685
6,36,882,11.01,0.9533
