node_id,s_ms,r_node
0,1.61,0.9794
1,1.22,0.9518
2,0.87,0.9983
3,1.3,0.993
4,0.82,0.9616
5,1.28,0.951
6,1.79,0.9626
7,0.7,0.9688
8,1.67,0.9827
9,1.75,0.9556
10,0.77,0.9857
11,1.93,0.9691
12,1.04,0.9739
13,1.3,0.9639
14,1.75,0.9588
15,1.03,0.9612
16,0.51,0.9847
17,1.67,0.9657
18,0.64,0.9596
19,1.77,0.9762
20,0.7,0.9982
21,1.83,0.9623
22,0.63,0.9817
23,1.95,0.9555
24,1.84,0.9646
25,1.61,0.9555
26,1.23,0.966
27,0.75,0.9724
28,0.63,0.9796
29,1.09,0.9535
30,1.66,0.9839
31,0.98,0.9725
32,1.7,0.9739
33,1.71,0.9613
34,1.7,0.9756
35,1.85,0.9508
36,1.74,0.9906
37,1.76,0.9658
38,0.6,0.9618
39,1.39,0.9911
40,0.7,0.952
41,1.58,0.9647
42,1.34,0.9743
43,1.29,0.977
44,0.77,0.9672
45,1.11,0.9761
46,1.98,0.9824
47,1.45,0.9794
48,0.85,0.9789
49,1.82,0.9878
50,1.8,0.9813
51,1.0,0.9782
52,1.58,0.9503
53,1.35,0.988
54,1.95,0.955
55,1.91,0.977
56,1.73,0.9592
57,1.13,0.9544
58,1.16,0.9557
59,1.65,0.9571
60,0.67,0.9887
61,1.07,0.9762
62,1.24,0.9867
63,1.75,0.9718
64,1.45,0.9509
65,0.85,0.9807
66,0.92,0.9885
67,0.55,0.9946
68,0.73,0.9971
69,1.38,0.9696
70,1.72,0.9705
71,1.21,0.9811
72,1.25,0.9672
73,1.6,0.9917
74,1.65,0.971
75,0.53,0.9799
76,0.71,0.981
77,0.51,0.9891
78,1.59,0.9727
79,1.11,0.97
80,0.63,0.996
81,1.27,0.9592
82,1.15,0.9511
83,0.77,0.9858
84,1.45,0.9976
85,1.04,0.9805
86,0.77,0.9916
87,1.69,0.9869
88,1.58,0.9668
89,1.75,0.9879
90,1.42,0.9669
91,0.56,0.9628
92,0.58,0.9588
93,1.39,0.9696
94,1.27,0.99
95,1.91,0.9861
96,1.15,0.9746
97,1.59,0.9838
98,1.03,0.9847
99,1.83,0.9964
100,1.35,0.9502
101,1.44,0.9576
102,1.7,0.9615
103,1.74,0.9934
104,1.93,0.9692
105,1.13,0.985
106,1.21,0.9585
107,0.9,0.9779
108,1.85,0.9924
109,1.81,0.9706
110,0.74,0.9551
111,1.41,0.9912
112,1.86,0.9919
113,1.08,0.9747
114,1.26,0.969
115,1.81,0.9628
116,1.29,0.9806
117,0.88,0.9587
118,0.67,0.9512
119,1.28,0.972
120,1.29,0.981
121,0.88,0.9945
122,1.15,0.9614
123,1.4,0.9529
124,1.96,0.9708
125,1.13,0.9595
126,1.1,0.9924
127,1.73,0.9521
128,1.24,0.9727
129,1.8,0.9613
130,1.77,0.9644
131,1.31,0.9981
132,0.57,0.9957
133,1.96,0.9537
134,0.51,0.955
135,0.75,0.9593
136,1.26,0.974
137,1.81,0.9663
138,0.51,0.9739
139,0.93,0.9686
140,1.18,0.9567
141,1.96,0.9562
142,0.96,0.9694
143,1.87,0.9566
144,0.5,0.9743
145,1.58,0.994
146,1.91,0.995
147,1.54,0.9551
148,0.69,0.9567
149,0.87,0.9588
150,1.57,0.9738
151,1.47,0.9547
152,1.73,0.9834
153,1.34,0.9714
154,0.94,0.9521
155,1.25,0.9661
156,1.28,0.99
157,0.55,0.9547
158,0.82,0.9692
159,1.58,0.9593
160,0.89,0.9518
161,1.07,0.9701
162,0.87,0.9865
163,1.81,0.962
164,0.89,0.9659
165,0.67,0.988
166,0.75,0.9932
167,1.39,0.9682
168,1.11,0.9786
169,1.06,0.9751
170,1.89,0.9877
171,1.39,0.9719
172,1.99,0.9614
173,0.65,0.9882
174,1.2,0.9741
175,1.34,0.9849
176,1.59,0.9914
177,0.89,0.9779
178,0.68,0.9811
179,1.88,0.9544
180,1.0,0.9911
181,0.76,0.9714
182,0.54,0.9628
183,1.64,0.9507
184,1.72,0.9869
185,1.97,0.9878
186,0.73,0.9826
187,1.52,0.9686
188,1.78,0.9663
189,0.9,0.9735
190,1.62,0.9614
191,0.68,0.9711
192,1.83,0.9592
193,1.34,0.9824
194,0.75,0.9602
195,1.94,0.9905
196,0.83,0.9503
197,0.83,0.9934
198,1.79,0.9706
199,1.54,0.9866
200,1.53,0.9619
201,0.64,0.9816
202,1.52,0.9613
203,1.24,0.9794
204,1.1,0.96
205,1.84,0.9843
206,1.15,0.9846
207,1.94,0.9768
208,1.45,0.9565
209,1.25,0.9622
210,1.43,0.964
211,1.71,0.9572
212,0.78,0.9987
213,0.63,0.9943
214,1.27,0.9565
215,1.18,0.979
216,0.59,0.9896
217,1.45,0.9682
218,0.86,0.9605
219,0.81,0.9505
220,1.51,0.9548
221,1.5,0.9568
222,1.49,0.9624
223,1.63,0.9922
224,1.59,0.9954
225,0.97,0.9799
226,1.18,0.9733
227,1.54,0.9902
228,1.94,0.9829
229,1.49,0.957
230,0.67,0.9814
231,1.83,0.9774
232,1.24,0.9533
233,1.23,0.9823
234,1.57,0.9753
235,1.69,0.9964
236,1.96,0.991
237,0.91,0.9515
238,1.2,0.9716
239,1.45,0.9732
240,1.79,0.9909
241,0.86,0.9935
242,1.27,0.9757
243,1.57,0.9676
244,1.55,0.9809
245,0.99,0.9772
246,1.18,0.9734
247,1.37,0.9686
248,1.8,0.9737
249,1.96,0.9547
